,time,open,high,low,close,amount,end_time,volume,count,buy_amount,buy_volume,null
1631,1615280400000.0,54079.82,54348.99,53921.0,54158.74,10191.695,1615283999999.0,552037564.57379,120216.0,5220.085,282813895.29097,0.0
1632,1615284000000.0,54158.74,54422.37,53950.28,54235.72,10808.081,1615287599999.0,585903344.78566,123985.0,5113.018,277209936.70477,0.0
1633,1615287600000.0,54235.71,54362.39,53986.0,54299.99,8210.466,1615291199999.0,445094885.05421,98418.0,3949.81,214131469.21234,0.0
1634,1615291200000.0,54300.0,54300.0,53621.0,53801.03,11446.646,1615294799999.0,617654704.73802,141477.0,5038.728,271953711.7563,0.0
1635,1615294800000.0,53801.03,54844.78,53728.83,54812.39,18020.127,1615298399999.0,979848453.50419,201472.0,10098.555,549210177.47263,0.0
1636,1615298400000.0,54812.4,54815.97,54407.4,54533.01,16178.607,1615301999999.0,882984440.44041,173835.0,7533.932,411229890.41493,0.0
1637,1615302000000.0,54537.54,54561.22,53880.0,54127.61,12477.883,1615305599999.0,677011143.87201,145757.0,5946.564,322683405.21148,0.0
1638,1615305600000.0,54127.61,54389.0,53801.01,54139.91,11547.125,1615309199999.0,625069103.74661,141255.0,5447.267,294926541.91025,0.0
1639,1615309200000.0,54139.91,54320.0,53806.56,53845.57,6829.785,1615312799999.0,369096587.32984,91302.0,3031.886,163867097.7625,0.0
1640,1615312800000.0,53845.57,54082.92,53653.0,53926.29,8352.639,1615316399999.0,450073400.28772,104925.0,3832.045,206521552.47384,0.0
1641,1615316400000.0,53926.28,54277.09,53840.03,54143.1,7171.677,1615319999999.0,387639444.6781,93540.0,3772.856,203945965.9572,0.0
1642,1615320000000.0,54143.11,54632.21,54083.26,54358.96,7479.965,1615323599999.0,406781870.57325,101735.0,3517.225,191274666.13753,0.0
1643,1615323600000.0,54360.0,54569.0,53924.67,54343.58,7830.631,1615327199999.0,424691261.20688,108855.0,3850.93,208859466.56054,0.0
1644,1615327200000.0,54343.57,54948.0,54180.0,54858.99,8768.199,1615330799999.0,478612406.65563,113098.0,4621.12,252323120.6275,0.0
1645,1615330800000.0,54859.0,54950.0,54528.33,54917.78,8085.285,1615334399999.0,442585413.86024,108042.0,4088.355,223832591.47648,0.0
1646,1615334400000.0,54917.78,55867.67,54800.0,55570.36,24992.016,1615337999999.0,1382984092.69584,249709.0,13000.855,719694526.41355,0.0
1647,1615338000000.0,55570.09,55890.0,54538.25,54733.7,16720.224,1615341599999.0,922736141.45707,191020.0,7737.226,427046927.72677,0.0
1648,1615341600000.0,54733.7,54733.71,53311.61,54014.99,30737.262,1615345199999.0,1659472981.79614,287507.0,14485.339,782353772.96639,0.0
1649,1615345200000.0,54015.0,54200.0,53229.24,53557.15,15097.775,1615348799999.0,810810642.37006,160620.0,7174.138,385332019.54858,0.0
